"Repo","Skill","Status","Source","Dest"
"scientific-agent-skills","hugging-science","installed","skills/hugging-science/SKILL.md","C:\Users\lixue\.codex\skills\hugging-science"
"scientific-agent-skills","hypogenic","installed","skills/hypogenic/SKILL.md","C:\Users\lixue\.codex\skills\hypogenic"
"scientific-agent-skills","hypothesis-generation","installed","skills/hypothesis-generation/SKILL.md","C:\Users\lixue\.codex\skills\hypothesis-generation"
"scientific-agent-skills","imaging-data-commons","installed","skills/imaging-data-commons/SKILL.md","C:\Users\lixue\.codex\skills\imaging-data-commons"
"scientific-agent-skills","infographics","installed","skills/infographics/SKILL.md","C:\Users\lixue\.codex\skills\infographics"
"scientific-agent-skills","iso-13485-certification","installed","skills/iso-13485-certification/SKILL.md","C:\Users\lixue\.codex\skills\iso-13485-certification"
"scientific-agent-skills","labarchive-integration","installed","skills/labarchive-integration/SKILL.md","C:\Users\lixue\.codex\skills\labarchive-integration"
"scientific-agent-skills","lamindb","installed","skills/lamindb/SKILL.md","C:\Users\lixue\.codex\skills\lamindb"
"scientific-agent-skills","latchbio-integration","installed","skills/latchbio-integration/SKILL.md","C:\Users\lixue\.codex\skills\latchbio-integration"
"scientific-agent-skills","latex-posters","installed","skills/latex-posters/SKILL.md","C:\Users\lixue\.codex\skills\latex-posters"
"scientific-agent-skills","liteparse","installed","skills/liteparse/SKILL.md","C:\Users\lixue\.codex\skills\liteparse"
"scientific-agent-skills","literature-review","installed","skills/literature-review/SKILL.md","C:\Users\lixue\.codex\skills\literature-review"
"scientific-agent-skills","markdown-mermaid-writing","installed","skills/markdown-mermaid-writing/SKILL.md","C:\Users\lixue\.codex\skills\markdown-mermaid-writing"
"scientific-agent-skills","market-research-reports","installed","skills/market-research-reports/SKILL.md","C:\Users\lixue\.codex\skills\market-research-reports"
"scientific-agent-skills","markitdown","installed","skills/markitdown/SKILL.md","C:\Users\lixue\.codex\skills\markitdown"
"scientific-agent-skills","matchms","installed","skills/matchms/SKILL.md","C:\Users\lixue\.codex\skills\matchms"
"scientific-agent-skills","matlab","installed","skills/matlab/SKILL.md","C:\Users\lixue\.codex\skills\matlab"
"scientific-agent-skills","matplotlib","installed","skills/matplotlib/SKILL.md","C:\Users\lixue\.codex\skills\matplotlib"
"scientific-agent-skills","medchem","installed","skills/medchem/SKILL.md","C:\Users\lixue\.codex\skills\medchem"
"scientific-agent-skills","modal","installed","skills/modal/SKILL.md","C:\Users\lixue\.codex\skills\modal"
"scientific-agent-skills","molecular-dynamics","installed","skills/molecular-dynamics/SKILL.md","C:\Users\lixue\.codex\skills\molecular-dynamics"
"scientific-agent-skills","molfeat","installed","skills/molfeat/SKILL.md","C:\Users\lixue\.codex\skills\molfeat"
"scientific-agent-skills","networkx","installed","skills/networkx/SKILL.md","C:\Users\lixue\.codex\skills\networkx"
"scientific-agent-skills","neurokit2","installed","skills/neurokit2/SKILL.md","C:\Users\lixue\.codex\skills\neurokit2"
"scientific-agent-skills","neuropixels-analysis","installed","skills/neuropixels-analysis/SKILL.md","C:\Users\lixue\.codex\skills\neuropixels-analysis"
"scientific-agent-skills","nextflow","installed","skills/nextflow/SKILL.md","C:\Users\lixue\.codex\skills\nextflow"
"scientific-agent-skills","omero-integration","installed","skills/omero-integration/SKILL.md","C:\Users\lixue\.codex\skills\omero-integration"
"scientific-agent-skills","open-notebook","installed","skills/open-notebook/SKILL.md","C:\Users\lixue\.codex\skills\open-notebook"
"scientific-agent-skills","opentrons-integration","installed","skills/opentrons-integration/SKILL.md","C:\Users\lixue\.codex\skills\opentrons-integration"
"scientific-agent-skills","optimize-for-gpu","installed","skills/optimize-for-gpu/SKILL.md","C:\Users\lixue\.codex\skills\optimize-for-gpu"
"scientific-agent-skills","pacsomatic","installed","skills/pacsomatic/SKILL.md","C:\Users\lixue\.codex\skills\pacsomatic"
"scientific-agent-skills","paper-lookup","installed","skills/paper-lookup/SKILL.md","C:\Users\lixue\.codex\skills\paper-lookup"
"scientific-agent-skills","paperzilla","installed","skills/paperzilla/SKILL.md","C:\Users\lixue\.codex\skills\paperzilla"
"scientific-agent-skills","parallel-web","installed","skills/parallel-web/SKILL.md","C:\Users\lixue\.codex\skills\parallel-web"
"scientific-agent-skills","pathml","installed","skills/pathml/SKILL.md","C:\Users\lixue\.codex\skills\pathml"
"scientific-agent-skills","pathway-enrichment","installed","skills/pathway-enrichment/SKILL.md","C:\Users\lixue\.codex\skills\pathway-enrichment"
"scientific-agent-skills","pdf","installed","skills/pdf/SKILL.md","C:\Users\lixue\.codex\skills\pdf"
"scientific-agent-skills","peer-review","installed","skills/peer-review/SKILL.md","C:\Users\lixue\.codex\skills\peer-review"
"scientific-agent-skills","pennylane","installed","skills/pennylane/SKILL.md","C:\Users\lixue\.codex\skills\pennylane"
"scientific-agent-skills","phylogenetics","installed","skills/phylogenetics/SKILL.md","C:\Users\lixue\.codex\skills\phylogenetics"
"scientific-agent-skills","pi-agent","installed","skills/pi-agent/SKILL.md","C:\Users\lixue\.codex\skills\pi-agent"
"scientific-agent-skills","polars-bio","installed","skills/polars-bio/SKILL.md","C:\Users\lixue\.codex\skills\polars-bio"
"scientific-agent-skills","polars","installed","skills/polars/SKILL.md","C:\Users\lixue\.codex\skills\polars"
"scientific-agent-skills","pptx-posters","installed","skills/pptx-posters/SKILL.md","C:\Users\lixue\.codex\skills\pptx-posters"
"scientific-agent-skills","pptx","installed","skills/pptx/SKILL.md","C:\Users\lixue\.codex\skills\pptx"
"scientific-agent-skills","primekg","installed","skills/primekg/SKILL.md","C:\Users\lixue\.codex\skills\primekg"
"scientific-agent-skills","protocolsio-integration","installed","skills/protocolsio-integration/SKILL.md","C:\Users\lixue\.codex\skills\protocolsio-integration"
"scientific-agent-skills","pufferlib","installed","skills/pufferlib/SKILL.md","C:\Users\lixue\.codex\skills\pufferlib"
"scientific-agent-skills","pydeseq2","installed","skills/pydeseq2/SKILL.md","C:\Users\lixue\.codex\skills\pydeseq2"
"scientific-agent-skills","pydicom","installed","skills/pydicom/SKILL.md","C:\Users\lixue\.codex\skills\pydicom"
"scientific-agent-skills","pyhealth","installed","skills/pyhealth/SKILL.md","C:\Users\lixue\.codex\skills\pyhealth"
"scientific-agent-skills","pylabrobot","installed","skills/pylabrobot/SKILL.md","C:\Users\lixue\.codex\skills\pylabrobot"
"scientific-agent-skills","pymatgen","installed","skills/pymatgen/SKILL.md","C:\Users\lixue\.codex\skills\pymatgen"
"scientific-agent-skills","pymc","installed","skills/pymc/SKILL.md","C:\Users\lixue\.codex\skills\pymc"
"scientific-agent-skills","pymoo","installed","skills/pymoo/SKILL.md","C:\Users\lixue\.codex\skills\pymoo"
"scientific-agent-skills","pyopenms","installed","skills/pyopenms/SKILL.md","C:\Users\lixue\.codex\skills\pyopenms"
"scientific-agent-skills","pysam","installed","skills/pysam/SKILL.md","C:\Users\lixue\.codex\skills\pysam"
"scientific-agent-skills","pytdc","installed","skills/pytdc/SKILL.md","C:\Users\lixue\.codex\skills\pytdc"
"scientific-agent-skills","pytorch-lightning","installed","skills/pytorch-lightning/SKILL.md","C:\Users\lixue\.codex\skills\pytorch-lightning"
"scientific-agent-skills","pyzotero","installed","skills/pyzotero/SKILL.md","C:\Users\lixue\.codex\skills\pyzotero"
"scientific-agent-skills","qiskit","installed","skills/qiskit/SKILL.md","C:\Users\lixue\.codex\skills\qiskit"
"scientific-agent-skills","qutip","installed","skills/qutip/SKILL.md","C:\Users\lixue\.codex\skills\qutip"
"scientific-agent-skills","rdkit","installed","skills/rdkit/SKILL.md","C:\Users\lixue\.codex\skills\rdkit"
"scientific-agent-skills","research-grants","installed","skills/research-grants/SKILL.md","C:\Users\lixue\.codex\skills\research-grants"
"scientific-agent-skills","research-lookup","installed","skills/research-lookup/SKILL.md","C:\Users\lixue\.codex\skills\research-lookup"
"scientific-agent-skills","rowan","installed","skills/rowan/SKILL.md","C:\Users\lixue\.codex\skills\rowan"
"scientific-agent-skills","scanpy","installed","skills/scanpy/SKILL.md","C:\Users\lixue\.codex\skills\scanpy"
"scientific-agent-skills","scholar-evaluation","installed","skills/scholar-evaluation/SKILL.md","C:\Users\lixue\.codex\skills\scholar-evaluation"
"scientific-agent-skills","scientific-brainstorming","installed","skills/scientific-brainstorming/SKILL.md","C:\Users\lixue\.codex\skills\scientific-brainstorming"
"scientific-agent-skills","scientific-critical-thinking","installed","skills/scientific-critical-thinking/SKILL.md","C:\Users\lixue\.codex\skills\scientific-critical-thinking"
"scientific-agent-skills","scientific-schematics","installed","skills/scientific-schematics/SKILL.md","C:\Users\lixue\.codex\skills\scientific-schematics"
"scientific-agent-skills","scientific-slides","installed","skills/scientific-slides/SKILL.md","C:\Users\lixue\.codex\skills\scientific-slides"
"scientific-agent-skills","scientific-visualization","installed","skills/scientific-visualization/SKILL.md","C:\Users\lixue\.codex\skills\scientific-visualization"
"scientific-agent-skills","scientific-writing","installed","skills/scientific-writing/SKILL.md","C:\Users\lixue\.codex\skills\scientific-writing"
"scientific-agent-skills","scikit-bio","installed","skills/scikit-bio/SKILL.md","C:\Users\lixue\.codex\skills\scikit-bio"
"scientific-agent-skills","scikit-learn","installed","skills/scikit-learn/SKILL.md","C:\Users\lixue\.codex\skills\scikit-learn"
